doi,Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,mu_e_2,mu_h_2,E_LUMO (eV)_2,E_HOMO (eV)_2
10.1039/c7py00940b,PBTTDPPBT,*c1ccc(C2=C3C(=O)N(C)C(c4cc5ccc(-c6ccc(-c7ccc(*)s7)s6)cc5s4)=C3C(=O)N2C)s1,1,0.0,0,0.4,1.2,-3.24,-4.73,PBTTDPPTT,*c1ccc(C2=C3C(=O)N(C)C(c4cc5ccc(-c6cc7sc(*)cc7s6)cc5s4)=C3C(=O)N2C)s1,1,0.0,0,0.14,1.68,-3.63,-5.09
10.1039/c7py00940b,PBTTDPPBT,*c1ccc(C2=C3C(=O)N(C)C(c4cc5ccc(-c6ccc(-c7ccc(*)s7)s6)cc5s4)=C3C(=O)N2C)s1,1,0.0,0,0.4,1.2,-3.24,-4.73,PBTTDPP2FBT,*c1ccc(C2=C3C(=O)N(C)C(c4cc5ccc(-c6cc(F)c(-c7sc(*)cc7F)s6)cc5s4)=C3C(=O)N2C)s1,1,0.0,0,0.35,1.5,-3.83,-5.29
10.1039/c7py00940b,PBTTDPPTT,*c1ccc(C2=C3C(=O)N(C)C(c4cc5ccc(-c6cc7sc(*)cc7s6)cc5s4)=C3C(=O)N2C)s1,1,0.0,0,0.14,1.68,-3.63,-5.09,PBTTDPP2FBT,*c1ccc(C2=C3C(=O)N(C)C(c4cc5ccc(-c6cc(F)c(-c7sc(*)cc7F)s6)cc5s4)=C3C(=O)N2C)s1,1,0.0,0,0.35,1.5,-3.83,-5.29
10.1039/c7qm00236j,PBOPACN,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(/C(C#N)=C/c6cc(OC)c(/C=C(\C#N)c7ccc(*)s7)cc6OC)s5)s4)=C3C(=O)N2C)s1,1,0.0,1,0.0,0.12,-3.39,-5.41,PBOPA,*c1ccc(/C=C/c2cc(OC)c(/C=C/c3ccc(-c4ccc(C5=C6C(=O)N(C)C(c7ccc(*)s7)=C6C(=O)N5C)s4)s3)cc2OC)s1,1,0.0,1,0.0,0.129,-3.28,-5.27
10.1039/c7tc01204g,PINDFBT-(TT),*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2c1ccc1c3c(ccc21)/C(=C1\C(=O)N(C)c2cc(-c4sc(-c5cc(C)c(*)s5)cc4C)ccc21)C(=O)O3,1,0.0,1,0.0217,0.0717,-3.78,-5.76,PINDFBT-(HH),*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2c1ccc1c3c(ccc21)/C(=C1\C(=O)N(C)c2cc(-c4cc(C)c(-c5sc(*)cc5C)s4)ccc21)C(=O)O3,1,0.0,1,0.33,0.15,-3.77,-5.68
10.1039/c7tc02273e,PTzTz-BiTh,*c1cc(C)c(-c2nc3sc(-c4sc(-c5cc(C)c(-c6sc(*)cc6C)s5)cc4C)nc3s2)s1,1,0.0,1,0.0025,0.076,-3.56,-5.36,PTzTz-TV,*c1cc(C)c(/C=C/c2sc(-c3cc(C)c(-c4nc5sc(-c6sc(*)cc6C)nc5s4)s3)cc2C)s1,1,0.0,1,0.05,1.66,-3.36,-5.03
10.1039/c7tc02273e,PTzTz-BiTh,*c1cc(C)c(-c2nc3sc(-c4sc(-c5cc(C)c(-c6sc(*)cc6C)s5)cc4C)nc3s2)s1,1,0.0,1,0.0025,0.076,-3.56,-5.36,PTT-TV,*c1cc(C)c(/C=C/c2sc(-c3cc(C)c(-c4cc5sc(-c6sc(*)cc6C)cc5s4)s3)cc2C)s1,1,0.0,1,0.0,0.02,-3.17,-4.97
10.1039/c7tc02273e,PTzTz-TV,*c1cc(C)c(/C=C/c2sc(-c3cc(C)c(-c4nc5sc(-c6sc(*)cc6C)nc5s4)s3)cc2C)s1,1,0.0,1,0.05,1.66,-3.36,-5.03,PTT-TV,*c1cc(C)c(/C=C/c2sc(-c3cc(C)c(-c4cc5sc(-c6sc(*)cc6C)cc5s4)s3)cc2C)s1,1,0.0,1,0.0,0.02,-3.17,-4.97
10.1039/c7tc02903a,TBDI-DT,*c1ccc(-c2ccc(-c3cc4c(=O)n(C)c(=O)c5cc6c(cc5c4s3)c(=O)n(C)c(=O)c3cc(*)sc36)s2)s1,1,0.0,1,0.15,0.015,-3.11,-5.57,TBDI-T,*c1ccc(-c2cc3c(=O)n(C)c(=O)c4cc5c(cc4c3s2)c(=O)n(C)c(=O)c2cc(*)sc25)s1,1,0.0,0,0.11,0.0,-3.11,-5.84
10.1039/c7tc02903a,TBDI-DT,*c1ccc(-c2ccc(-c3cc4c(=O)n(C)c(=O)c5cc6c(cc5c4s3)c(=O)n(C)c(=O)c3cc(*)sc36)s2)s1,1,0.0,1,0.15,0.015,-3.11,-5.57,TBDI-DFDT,*c1cc(F)c(-c2sc(-c3cc4c(=O)n(C)c(=O)c5cc6c(cc5c4s3)c(=O)n(C)c(=O)c3cc(*)sc36)cc2F)s1,1,0.0,1,0.4,0.0,-3.2,-5.74
